county,loc_1
cork,"ga,"
tipperary,"vt,craftsbury"
,"il,chicago,randolph st."
kerry,"ma,"
cork,"nbr,st.john,'42"
cork,"pa,dauphin, 9/44"
kerry,"il,wells co."
cork,"la,new orleans,174tchapitous"
queens,"md, baltimore, ""the landing"""
kerry,"ma,boston,"
tipperary,"nh,washington mtn.5/46"
cavan,"quebec,'47"
louth,
louth,
cavan,"pa,newquehoning,carbon co."
limerick,"ma,quincy,'47"
dublin,nyc
cork,"ky,cedar,'42"
cork,"ma,boston,'36"
cork,"ma,boston,'36"
westmeath,"nyc,'35"
wicklow,"nyc,'44"
tipperary,"ma,boston, 7/48"
cork,france
cork,france
mayo,"que,montreal"
cork,"in,davies, clay co.,2/49"
clare,"nyc,'48"
cork,"quebec,'33"
dublin,"ma,boston"
kerry,"vt,bartinsville"
limerick,"nyc,'45"
tipperary,"quebec,'36"
kerry,"pa,alleghany city"
kerry,"ont,oxwelleechward"
mayo,que.
cork,"ny,buffalo, 7/49"
cork,"nyc,'48"
galway,"nyc,'48"
galway,"pa,philadelphia"
meath,"ma,boston,'47"
tipperary,
cork,"la,new orleans"
,"ma,boston,'46"
clare,"nyc,'46"
armagh,"ma,boston,'49"
kerry,"me,portland"
mayo,que.
cork,"md,baltimore 2/50"
wicklow,"la,new orleans,'50"
cork,
tipperary,"ma,boston,'39"
donegal,"pa,philadelphia,11/49"
carlow,"ma,boston,east/south"
limerick,"*eng,london,'49"
cavan,
dublin,
cork,nyc
clare,
galway,nyc
kilkenny,
tipperary,"md,baltimore,6/50"
roscommon,"ma,boston,7/51"
roscommon,"ma,boston,7/51"
galway,
limerick,"quebec,'48"
clare,"pa,tinker run,westmoreland*"
dublin,nyc
waterford,"ct,'49"
cork,"ma,e.boston,'50"
londonderry,"la,new orleans,'49"
kilkenny,"ma,"
,"ct,4/52"
tipperary,quebec
cavan,nyc
tipperary,"nyc,'40"
meath,
louth,"la,new orleans"
limerick,
wexford,
kerry,"il,chicago,"
kilkenny,"oh,cincinnati,"
kildare,"vt,castleton,51;nh,hanover"
meath,"oh,cleveland (51)"
limerick,
limerick,"nyc,'49"
galway,
,"ny,erie, buffaloco"
clare,
kilkenny,"ma,boston"
tipperary,"ny,w.granville,wa co,48*"
tipperary,"ny,troy"
londonderry,"pa,summersville*"
down,"ny,cold springs '49"
limerick,"quebec,'40"
kilkenny,
waterford,"ont,whitehall,51"
monaghan,"ri,providence"
cork,
cork,
meath,"quebec,'46"
meath,"quebec,'46"
waterford,
clare,"nbr,st.john"
,"oh,cincinnati"
cork,"nyc,'51"
roscommon,nyc
roscommon,quebec
kings,"oh,commonsville"
waterford,
donegal,il
tipperary,"mo,jefferson city"
wexford,"la,new orleans,'51"
kilkenny,
galway,"nyc,'49"
meath,"ma,lowell'51"
cavan,"ma,boston"
clare,"ma,shirley,48"
cork,"il,new albany"
*scotland,
mayo,"va,wheeling"
clare,"ny,e.troy(54)"
roscommon,"ny,boonville,'50"
tipperary,"nfld,st.john"
kerry,"NY, Binghamton - fall 1855"
clare,"oh,cincinnati"
clare,"in,"
wicklow,"[],bristol co.*"
kerry,"*eng,liverpool"
mayo,"oh,yellow creek,summit co.*"
mayo,"ny,monroe st,ny"
wexford,"quebec,'43"
leitrim,"la,new orleans,4/59"
mayo,
galway,"ma,lowell,7/57"
cork,"la,new orleans,4/58"
cork,"la,new orleans,4/58"
kilkenny,"que,montreal,'58"
kilkenny,"que,montreal,'58"
cork,"nyc,'46"
cork,"oh,bray,7/54"
mayo,"tn,memphis"
tipperary,"il,chicago,10/58"
kerry,"oh,greenfield"
clare,"ny,brooklyn"
clare,"il,moline,'57"
clare,"nj,believed there"
cork,"ont,kingston,lobora,'53"
cork,"ont,kingston,lobora,'53"
kilkenny,"ma,s.boston,w/roany"
kildare,"ny,syracuse"
armagh,"ma,boston,'51"
cork,"ny,brooklyn"
donegal,"pa,phila."
cork,"nyc,'59"
cork,"nyc,'59"
meath,"nyc,'53-59"
meath,"nyc,'53-59"
mayo,"md,baltimore"
,"ca,sacramento city,4/61"
tipperary,
kings,"ct,bridgeport,'54"
,"ma,no.bridgewater,'54"
tipperary,"ny,albany,43"
cavan,
,"VA, Richmond - Left 20/8/62"
,"OH, Cincinnati (left 1868)"
,"NY, Brooklyn Navy Yard (last heard 1854)"
kerry,"nyc,'56"
sligo,"*eng,liverpool"
mayo,"nyc,'46"
Clare,"NYC, 1849"
*Scotland,
limerick,
cork,"ma,boston,'48"
,"*eng,liverpool"
down,"nyc,'52"
Cavan,NY (left for) (1853)
limerick,"md,baltimore"
galway,"pa,"
donegal,"canada,'42"
cavan,"nbr,st.john,'46"
cork,"nyc,'46"
donegal,"mi,jacksonburgh,'37-43"
kilkenny,nyc
kerry,"nyc,3/49"
cavan,"il,alton, 6/50"
kerry,"nc,"
galway,"la,new orleans 8/49"
kilkenny,quebec
kerry,"ny,schaghticoke point"
,"*eng,"
limerick,quebec
limerick,"mi,detroit"
limerick,can
westmeath,"pa,philadelphia"
westmeath,"mi,detroit"
waterford,"nfld,newfoundland,'25"
cork,"ms,natchez,adams co.,'44"
,"ns,lunenburg"
mayo,"quebec,'43"
limerick,"nyc,'49"
limerick,
cork,"ont,queenstown(kingston?)'44"
kerry,"ny,brooklyn"
,
wicklow,
kerry,"nyc,'47"
mayo,
fermanagh,"nbr,st.john,'43"
cavan,"nyc,'36"
carlow,
clare,"ny,saratoga"
kildare,"nyc,('48)"
monaghan,"ny,brooklyn"
kerry,"ny,buffalo'51"
down,"nbr,st.john"
cork,
kilkenny,"pa,mansfield,tioga co.'54"
waterford,"ma,worcester,'59"
cavan,"canada,'31"
waterford,"nfld,harbor grace"
waterford,"nfld,harbor grace"
waterford,"nfld,harbor grace"
waterford,"nfld,harbor grace"
leitrim,"ri,providence,11/60"
cork,"ma,salem,'56"
clare,"oh,cleveland,10/63"
limerick,"ma,boston,12/38"
wexford,"ont,ottawa (bytown)"
waterford,"quebec,'47"
,
cork,"nbr,'46"
cork,"il,springfield"
fermanagh,"ma,boston,'50"
kilkenny,"*eng,manchester"
clare,"*argentina,buenos aires"
cork,"ma,boston(53)"
donegal,"pa,hazleton"
waterford,"ct,bridgeport,'56"
waterford,"ia,muscatine,'56"
roscommon,"ma,boston,'61"
limerick,"ny,brooklyn,guana,'56"
Limerick,
Limerick,
queens,"ny,williamsburg,7th/2nd,'61"
,"ont,toronto,1/59"
tipperary,
meath,"nj,5/61"
,"*eng,manchester,'36"
tyrone,"md,baltimore,'43"
,"nyc,'30"
dublin,"ma,worcester, 8/49"
cork,"ma,boston,10/48"
*england,
mayo,"md,baltimore"
armagh,
kerry,
limerick,
louth,"ia,dubuque,5*"
clare,"sc,charleston,'57"
dublin,"nyc,'52"
dublin,
dublin,"ca,'54"
,"*CE, Montreal 1858 last heard"
londonderry,"pa,philadelphia,'45"
londonderry,"*scotland, glasgow,'42"
waterford,"la,new orleans"
kilkenny,"ma,boston,nr.9/49"
queens,"md,baltimore,'59"
clare,"*new zealand,10/61"
Tyrone,NYC
,"ma,boston,'48"
kilkenny,"ri,woonsocket falls"
waterford,nyc
queens,"quebec,'50"
,
cavan,"fl,tampa bay"
limerick,"md,baltimore"
waterford,"ma,boston,'47"
cavan,
,"nbr,fredericton"
cork,"ma,boston,6/55"
cork,"ny,albany '53"
,"nbr,st.john"
donegal,"ont,toronto"
cork,
cork,
waterford,nyc
waterford,"ma,boston"
Cork,
Clare,"IN, Terre Haute"
cork,"wi,"
,
clare,"ire,limerick city"
Dublin,"NY, 144 Third Ave (02/66)"
monaghan,"quebec city,'43"
cork,"quebec,'32"
queens,"que,montreal"
,
cavan,"nyc,'48"
cork,"ma,boston,5/61"
*scotland,"il,chicago"
cavan,"nyc,'43"
,"md,baltimore,5/53"
,"nyc,'47"
dublin,"nyc,'44"
kildare,"nyc,'45"
donegal,"nbr,st.john,'19"
,
cork,pei
cork,nyc
,"nbr,st.john,'41"
,"ma,boston"
cork,"pa,pittsburgh, 1/43"
donegal,"nyc,42nd st."
cork,"la,new orleans"
kildare,west
tipperary,"pa,philadelphia,'38"
cork,
cork,"nbr,st.john"
limerick,"ont,pt.henry,nr kingston'45"
wicklow,"ont,toronto, '44"
cork,nyc
kildare,
queens,"il,"
limerick,"nyc,'48"
londonderry,"*eng,london,'42"
londonderry,"nbr,st.john,7/48"
cavan,"ri,newport"
queens,"oh,"
clare,"ma,grafton"
limerick,
cork,"ma,boston or vicinity"
mayo,"pei,'48"
cork,"me,halifax"
cork,"ma,roxbury"
tipperary,"ma,boston"
*england,"il,chicago"
clare,"oh,cleveland"
cork,"ma,springfield"
tipperary,"que,montreal,'48"
westmeath,"nyc,'35"
waterford,"nyc,'48"
armagh,"ma,boston,'49"
limerick,"ont,toronto"
kings,"la,new orleans"
,"pa,new castle,mercer co."
longford,"md,"
galway,"ny,albany"
kilkenny,"ri,'49"
kilkenny,"quebec,'46"
kilkenny,"ny,rochester"
tipperary,quebec
,"nbr,st.john"
cork,"oh,cincinnati"
tipperary,"nyc,3/15/52"
cavan,
meath,"nyc,47"
tipperary,"ny, syracuse, 5/49; wi"
queens,"la,new orleans"
westmeath,
,"ny,buffalo,5/27/51"
cavan,"ri,newport"
galway,
galway,"tn,nashville"
kilkenny,"oh,cincinnati"
carlow,"la,new orleans,48"
kerry,
wicklow,nyc
clare,"ms,vicksburgh -lastplace"
wexford,"ma,boston,'52"
armagh,"ont,hamilton,'53"
kerry,nyc'51
carlow,"ny,long island12/54"
donegal,"pa,reading"
wicklow,nyc
wicklow,nyc
tipperary,"la,new orleans"
tipperary,nyc
cork,"nbr,st.john"
cork,"nj,"
cork,"la,new orleans"
limerick,"quebec,7/49"
fermanagh,"il,chicago,lk superior"
wicklow,
mayo,
cork,"nj,"
limerick,
wexford,nyc
queens,"quebec,'32"
queens,"nfld,st.john's"
kildare,"ky,"
donegal,"ri,providence"
tipperary,"quebec,'47"
meath,"mo,st.louis,58"
,"la,new orleans"
wicklow,"la,new orleans"
clare,nyc'51
kilkenny,"oh,cleveland"
cavan,"pa,mineral pt,bedford co."
tipperary,
cavan,nyc
*scotland,
,"ny,astoria,w/connell"
westmeath,"pa,greensburg"
,"ont,toronto"
tipperary,"ont,hamilton,'58"
,nyc
kings,"pa,pittsburgh"
kerry,"oh,woodstock,'53"
waterford,"ny,troy"
limerick,"oh,cincinnati,5/10/61"
waterford,"nyc,45/46"
tipperary,"nyc,45/46"
cork,"ma,boston,'47/48"
tipperary,"ny,piermont,'60"
*england,"wi,milwaukee,9/57"
cork,"que,montreal,w/si=mrs.collin"
waterford,"ns,'49"
cork,"que,montreal,w/si=mrs.collin"
meath,"wi,'55"
meath,"wi,'55"
cork,
limerick,"ca,"
Meath,
Louth,"MD, Baltimore (1857)"
Cork,
Cork,"PA, Yellow Springs, Dauphin Co. (1859) "
Galway,"LA, New Orleans"
tipperary,
*germany,"south,'53"
tipperary,"pa,"
*england,nyc
,nyc
cork,
cork,"ny,harlem"
roscommon,"nbr,st.john"
galway,nyc/boston
galway,nyc/boston
donegal,"ct,s.killingly,8/56"
Mayo,"MA, Boston"
Kerry,"IN, Indianapolis"
antrim,"ct,hartford or ny,"
,"ny,ross's point"
dublin,
mayo,"me,portland, '45"
cork,"mi,laurel,genesee co."
,"Ireland, Bellack (last heard from 1858)"
cork,"ca,"
kilkenny,nyc
monaghan,"md,baltimore"
fermanagh,"ct,sherburn"
limerick,"mo,st.louis,'54"
monaghan,
,"nyc,6/51"
down,"nyc,'46"
clare,
Cavan,"nyc,'48"
galway,"*austr,sydney,'36"
dublin,"ma,oxford,6/50"
dublin,"me,"
kilkenny,"ma,watertown"
longford,"*eng,'43"
limerick,
cork,"ny,albany, pearl st.,'39"
cork,"ma,brookline"
Tyrone,NYC
"*eng,","ny,"
"*England, Wiggan, Lancashire",
"*England, Kolla, Co. Durham",
mayo,america?
"*Scotland, Gouan Street, Glasgow",SC
mayo,"quebec,'50"
cork,
cork,
cork,
monaghan,
kerry,
cork,"nyc,4/47"
longford,"pa,"
longford,"que,quebec city,'25"
longford,"quebec,24/25"
*ireland,"ma,wareham"
fermanagh,"que,quebec city,'32"
leitrim,"ny,brooklyn,'35"
cork,"oh,cleveland,'39"
cork,"oh,sandyville,tuscawaras co."
fermanagh,"ont,toronto, '44"
cork,west or south
dublin,"ma,boston,146 ann st.'48"
cork,"ma,boston,broad st.,5/48"
limerick,"ma,boston"
limerick,"quebec,'37"
cork,"ma,charlestown"
cork,"ma,boston,main st."
limerick,
kerry,"nyc,4/51"
cork,"mo,st.louis"
kilkenny,nyc
carlow,"ma,boston"
cork,"ma,boston"
queens,"ont,leeds,kent co."
queens,"ont,leeds,kent co."
queens,"ont,leeds,kent co."
cork,"ma,boston"
cork,"ma,boston"
cork,"*eng,bristol,'52"
kilkenny,"mo,st.louis,2/63"
kilkenny,"mo,st.louis,2/63"
cork,"que,montreal,6/62"
tipperary,
Clare,"IN, Henry County, Ogden"
meath,"ny,troy,river st."
meath,"oh,cincinnati,48"
meath,"oh,cincinnati,48"
,"nyc,'50"
kerry,"ky,louisville"
Kerry,"IL, Chicago"
*glasgow,"ky,louisville"
*scotland,"pa,phila,"
cork,"ma,salem,'43"
tipperary,
cork,"ma,salem,'43"
waterford,"que,montreal, '42"
cork,"nyc,'48"
cork,"la,new orleans"
tipperary,"nyc,'49"
waterford,"nyc,'37"
cork,"la,new orleans,'47"
cork,"il,chicago"
down,"ca,"
down,"oh,lancaster"
dublin,"ma,boston,'56"
down,"ma,boston,'52-61"
,"ma,n.woodstock,4/62"
cork,"ma,salem,'56"
cavan,"mi,michigan city"
dublin,"ky,maysville,8/2/60"
,"pa,lancaster,fairfieldc.'55"
carlow,"ma,boston,4 w.cedar st.,5/47"
,
cork,"quebec,'43"
clare,"fl,new s.carolina,st.john bl"
kilkenny,"ny,ogdensburg"
kerry,
kerry,"can,"
,"ma,lowell"
kilkenny,"ny,rochester,'52"
louth,
kerry,canada
leitrim,nyc
Cavan,
*ireland,"ma,boston or nyc"
kildare,"ire,dublin"
kilkenny,"ny,ogdensburg"
clare,
cork,"nyc,12/59"
kings,"oh,cincinnati,'54"
louth,"mo,st.louis"
cork,"ma,boston,'47/48"
Dublin,
Leitrim,"MA, Burlington"
dublin,
down,"ma,lowell"
*scotland,"ma,boston"
mayo,
galway,"dc,washington,12/62"
tipperary,"ma,taunton,'38"
cork,"ma,roxbury,'55"
*scotland,"que,quebec,lake beaufort rd."
kilkenny,
kerry,"ny,albany"
longford,america(supposed)
Galway,"MA, Boston"
Galway,
Galway,
Cavan,New York
Cavan,NYC
Queens County,NY (left 15 or 16 years ago)
Cork,"MA, East Cambridge (11/63)"
cork,"ri,providence"
dublin,"ms,natchez,c/smith&reyholds"
Cavan,New York
cork,"nyc,'47"
limerick,quebec
dublin,
waterford,"quebec,'40"
clare,
Cork,Washington Territory
Cavan,NYC
clare,
cork,"que,sherbrook,montreal,'54"
Dublin,
Dublin,
Leitrim,"*England, Manchester (30 yrs)"
limerick,"ma,boston, 5/47"
Roscommon,"SN, North River"
,"ma,andover, 5/49/lawr*"
Armagh,"KY, Covington (03/66) "
Armagh,
Armagh,
Armagh,
Armagh,
kilkenny,"nyc,'23"
monaghan,"ont,toronto (little york)"
kilkenny,"*eng,london,'34"
cork,"pa,philadelphia, nr."
meath,nyc
galway,"nyc,'41"
cork,"ny,troy"
cork,"ny,troy"
dublin,"pa,philadelphia, orange st."
limerick,
cork,"ny,albany,'39"
dublin,"dc,washington,7/29"
limerick,"pei,charlottetown,'41"
kings,nyc
limerick,"pa,philadelphia"
kings,"nyc,'51"
tipperary,
limerick,"mo,st.louis,'53"
louth,"pa,rising sun(55)"
mayo,"ma,boston vicinity"
dublin,"ny,rochester,3/60"
kings,
tipperary,"que,montreal"
,"ca,texashill,sacramento,7/54"
mayo,"va,"
kildare,
,"OH, Cincinnati"
monaghan,"pa,philadelphia,'44"
louth,"nyc,4/50"
Cavan,New York
dublin,"va,wheeling,'42"
dublin,"va,wheeling,'42"
,"ma,boston,'19"
longford,"al,mobil/la,new orleans"
kerry,
monaghan,"pa,whittenburg,somerset,'60"
cavan,"nyc,'49"
queens,
Cork,"TN, Knoxville"
waterford,"me,somerset"
Waterford,"NY, NY (1854)"
Waterford,"NY, NYC (1854)"
Meath,"NY, Brooklyn"
Kerry,"NY, New York"
cork,
limerick,
galway,"ma,worcester"
cork,
cork,"ma,boston,milton st"
cork,"ca,"
cork,"oh,winchester,preble co,'48"
fermanagh,"nyc,'35"
,
,
,
tipperary,"ma, bo.,52; ve or ne"
louth,"ny,albany"
cork,"la,new orleans"
,"quebec city,'32"
londonderry,"la,new orleans"
tipperary,"pa,pittsburgh,ferry st.,'46*"
dublin,"mi,niles,berrian co."
meath,"pa,philadelphia 53, de 54"
londonderry,
dublin,"ma,roxbury,'55"
dublin,
*england,"ma,bradford"
limerick,"quebec,'55"
Queens,NY (1836)
Cavan,NY of Brooklyn
,
Waterford,
,
,france*
dublin,"*eng,manchester"
cork,"*wales,'61"
,"oh,trenton,lawrence county"
,"nbr,frederickton"
,"pa,pottsville(33)"
louth,"ny,troy,52"
cork,"ma,boston(lft-50or51)"
,
cork,"ont,brockville"
tyrone,"ma,roxbury,'29"
cork,nyc
waterford,"*australia,hobart t.,sydney"
cork,
leitrim,
cork,"ma,boston,'46"
louth,"ma,boston"
westmeath,"nj,old boonton"
clare,"nyc,'48"
clare,"nyc,'48"
cork,"nyc,'47"
tipperary,"nyc,'48"
clare,"vt, '46-'50"
cork,"me,thomaston"
cork,"me,portland"
cork,
carlow,"ma,cambridge"
tipperary,"ma,boston (10/51)"
,"mo,st.louis,5/52"
,
cork,
cork,
limerick,"va,richmond city,10/51"
kerry,"ns,halifax"
roscommon,"ma,roxbury"
tipperary,"nyc,'49"
kerry,"nbr,st.john"
clare,"va,richmond,53"
clare,"ma,brookline (11/54)"
louth,"la,vicksburg"
cork,nyc
kerry,"ny,buffalo,55"
kerry,
donegal,"nyc,'53"
roscommon,"pa,"
cork,
londonderry,"va,elizabeth,loudin co."
londonderry,"va,elizabeth,loudin co."
waterford,"quebec,'40"
waterford,"quebec,'40"
limerick,"ny,e.troy"
cork,"nj,'53"
cork,"nj,'53"
donegal,"wi,milwaukie,56;mo,st louis"
,"me,bangor,57"
cork,"nyc,'47"
cork,"nyc,'48"
,PA (1836) 
Kilkenny,
Tipperary,
*england,
louth,
galway,"pa,tamaqua,alleghay mts,48"
antrim,
,"ma,e.boston"
,"ma,boston'50"
,"nj,shrewsbury"
Kings Co.,"OH, Cincinnati"
"*England, Manchester",
Cork,
Dublin,Panama
Dublin,Panama
tipperary,"il,chicago,54 st.augustine"
"*South Wales, Glamorganshire","MO, St. Louis (1857)"
cork,"nbr,st.john,'48"
cork,"in,connorsville,fayette co."
cavan,"nyc,'42"
dublin,"nyc,'49/50"
Cork,"MA, Boston"
tipperary,"pa,pottsville"
kerry,"nbr,st.john"
tyrone,"ri,providence"
kilkenny,"pa,easton, '37"
mayo,"ma,boston"
wexford,"quebec,'37"
kilkenny,"md,baltimore"
galway,"ma,s.boston,c/o harnden,'47"
waterford,
kerry,"ma,worcester, 12/36"
,"ma,boston,'48"
tipperary,
cavan,"quebec,'19"
,"nyc,'48"
limerick,"quebec,'41"
*bavaria/germany,"que,montreal, 5/50"
clare,"nyc,'48"
cork,"al,orleans"
cork,"ny,buffalo"
tipperary,"pa,york & erie rr"
cork,"dc,washington"
galway,"nyc,4/53"
sligo,"nyc,8/45"
tipperary,"va,"
cork,"*eng,bristol"
*canada,"oh,cincinnati,50"
kerry,"nyc,"
kerry,
cork,"nh,manchester,(48)"
mayo,"pa,ruperts po,columbia co"
clare,"pa,susquehanna,y&e rr.'53"
galway,"mo,st.louis"
galway,"mo,st.louis"
kerry,"ont,prescott,'35"
tipperary,"nyc,'55"
Tipperary,"NJ, Burlington Co."
kilkenny,"que,montreal,'44"
meath,"ma,boston"
cork,"nh,manchester,9/48"
sligo,"ct,new london"
waterford,nyc
,"ma,boston'46;n'orlns,la,'51"
,"nj,shrewsbury"
dublin,"ny,rochester"
westmeath,
down,
,NY
dublin,"tn,memphis"
monaghan,"md,baltimore,s.street"
cork,"nbr,st.john,'37"
kilkenny,"nh,dover"
wexford,"pa,philadelphia,1790"
kilkenny,"ma,boston,'48"
tipperary,"nyc,'53"
*scotland,"nyc,'48"
queens,"ny,rochester(55)"
galway,"md,baltimore 50or51"
tyrone,
tyrone,
longford,
longford,
londonderry,"nyc,'46"
*scotland,"nj,patterson"
cork,"ma,e.cambridge,4/50"
dublin,"ma,boston,'47"
cork,"nyc,'48"
meath,"nyc,'49"
*scotland,"nyc,'56"
kings,"oh,cleveland(55)"
limerick,"in,evansville"
limerick,"quebec,'40"
leitrim,"*eng,staleybridge,lanc,'47"
*england,"oh,mt.vernon,knox co.8/60"
cork,
down,"la,new orleans,'58"
,"equador,guayaquill"
queens,"ma,boston,'43"
cork,"quebec,'39"
galway,
roscommon,"ma,stockbridge,'50"
,"mi,jackson"
longford,"nyc,7/46"
wexford,
galway,"ma,boston"
queens,"pa,philadelphia,7/48"
galway,"ma,boston or canada"
Waterford,
Kilkenny,
,
Limerick,
Limerick,
kerry,nyc
cork,"ma,boston"
queens,
tipperary,"nyc,'50"
limerick,"me,robinstown,3/54"
londonderry,nyc
londonderry,nyc
londonderry,nyc
londonderry,nyc
,"la,new orleans"
cork,"ma,boston,sea st"
limerick,"NY, Buffalo - 1856"
meath,"nyc,'51"
*england,"ma,brighton,'59"
carlow,"pa,philadelphia, vaughan st.,nr. locust"
Limerick,"NY, Williamsburg"
Limerick,"NY, Williamsburg"
Limerick,"NY, Williamsburg"
tipperary,"ma,boston, '45"
cork,"nyc,'51"
Wexford,"CA, San Francisco, Mare Island (left 6/1867)"
tipperary,"ma,boston"
cork,"ma,e.boston,w/mr.lynch"
cork,"ma,e.boston,w/mr.lynch"
dublin,"ma,/ny,"
dublin,"va,richmond"
cork,"dc,washington"
Wicklow,
mayo,"pa,"
londonderry,"ma,boston,41;ny;south"
sligo,
*scotland,"ri,providence,'52"
cork,"ma,lowell,lowell st"
roscommon,
sligo,
kerry,"pa,phila,"
roscommon,nyc
kerry,
limerick,"ny,buffalo,'47"
tipperary,
queens,"la,new orleans/al,mobile"
limerick,"tn,memphis,'59"
,"PA, Altoona"
Cork,NY (1849)
Cork,"CA, San Francisco (1849)"
,"ma,boston,11/45"
waterford,"la,new orleans *"
roscommon,"oh,woister,wayne co.w/un*"
roscommon,
waterford,"ns,halifax,"
limerick,"va,norfolk navy yard"
galway,nyc
londonderry,"pa,philadelphia"
fermanagh,"nyc,1/58"
fermanagh,"nyc,1/58"
Fermanagh,"CT, New Haven"
kerry,us/can
clare,
cavan,
limerick,
Fermanagh,NYC
Kerry,"Australia, Sydney*"
tipperary,"nyc,5/15/55"
limerick,nyc
mayo,"*eng,stockport,'41"
limerick,nyc
limerick,nyc
galway,"nyc,3/52"
